105/06/01,251000,113970,0.44,0.46,0.44,0.46,0.00,16
105/06/02,2917000,1483410,0.47,0.54,0.46,0.53,+0.07,55
105/06/03,1118000,562310,0.51,0.53,0.49,0.49,-0.04,25
105/06/04,321000,158230,0.50,0.50,0.48,0.50,+0.01,9
105/06/06,529000,269560,0.50,0.53,0.50,0.50,0.00,17
105/06/07,269000,131160,0.49,0.50,0.48,0.50,0.00,4
105/06/08,189000,93210,0.50,0.50,0.49,0.49,-0.01,5
105/06/13,826000,402910,0.49,0.53,0.47,0.50,+0.01,24
105/06/14,198000,97430,0.49,0.51,0.49,0.49,-0.01,11
105/06/15,310000,150500,0.49,0.49,0.48,0.48,-0.01,7
105/06/16,466000,205590,0.48,0.48,0.43,0.43,-0.05,12
105/06/17,205000,87100,0.43,0.43,0.41,0.43,0.00,7
105/06/20,12000,4800,0.40,0.40,0.40,0.40,-0.03,2
105/06/21,40000,16000,0.40,0.40,0.40,0.40,0.00,3
105/06/22,170000,67900,0.39,0.41,0.39,0.40,0.00,5
105/06/23,135000,56200,0.41,0.42,0.41,0.42,+0.02,6
105/06/24,342000,154340,0.42,0.50,0.42,0.47,+0.05,15
105/06/27,255000,115050,0.45,0.47,0.44,0.44,-0.03,9
105/06/28,312000,150000,0.45,0.52,0.44,0.51,+0.07,10
105/06/29,30000,15300,0.51,0.51,0.51,0.51,0.00,3
105/06/30,237000,117000,0.51,0.52,0.48,0.48,-0.03,7
105/07/01,0,0,---,---,---,---,---,0
105/07/04,16000,8420,0.53,0.53,0.52,0.52,+0.03,2
105/07/05,36000,17640,0.49,0.49,0.49,0.49,-0.03,2
105/07/06,682000,368080,0.53,0.55,0.53,0.53,+0.04,11
105/07/07,20000,10450,0.51,0.53,0.51,0.53,0.00,3
105/07/11,20000,10100,0.51,0.51,0.50,0.50,-0.03,2
105/07/12,595000,267950,0.46,0.46,0.45,0.45,-0.05,3
105/07/13,20000,9000,0.45,0.45,0.45,0.45,0.00,1
105/07/14,460000,185700,0.41,0.42,0.40,0.40,-0.05,8
105/07/15,80000,31850,0.39,0.41,0.39,0.41,+0.01,5
105/07/18,50000,20000,0.40,0.40,0.40,0.40,-0.01,1
105/07/19,79000,29420,0.38,0.38,0.36,0.36,-0.04,2
105/07/20,10000,3900,0.39,0.39,0.39,0.39,+0.03,1
105/07/21,0,0,---,---,---,---,---,0
105/07/22,0,0,---,---,---,---,---,0
105/07/25,10000,4000,0.40,0.40,0.40,0.40,+0.01,1
105/07/26,155000,64160,0.41,0.43,0.41,0.43,+0.03,4
105/07/27,65000,26300,0.40,0.42,0.40,0.42,-0.01,2
105/07/29,56000,25080,0.43,0.45,0.43,0.45,+0.02,2
105/08/01,30000,12300,0.41,0.41,0.41,0.41,-0.04,1
105/08/02,0,0,---,---,---,---,---,0
105/08/03,0,0,---,---,---,---,---,0
105/08/04,30000,9600,0.32,0.32,0.32,0.32,-0.05,1
105/08/05,160000,51400,0.34,0.34,0.32,0.32,0.00,2
105/08/09,5000,1750,0.35,0.35,0.35,0.35,+0.03,1
105/08/10,30000,11100,0.37,0.37,0.37,0.37,+0.02,1
105/08/11,0,0,---,---,---,---,---,0
105/08/12,0,0,---,---,---,---,---,0
