105/06/01,30000,13800,0.46,0.46,0.46,0.46,0.00,1
105/06/02,0,0,---,---,---,---,---,0
105/06/03,60000,22800,0.38,0.38,0.38,0.38,-0.01,1
105/06/04,60000,21300,0.37,0.37,0.34,0.34,-0.04,2
105/06/06,0,0,---,---,---,---,---,0
105/06/07,110000,37500,0.34,0.35,0.34,0.35,+0.02,2
105/06/08,140000,48400,0.36,0.36,0.34,0.34,-0.01,2
105/06/13,0,0,---,---,---,---,---,0
105/06/14,100000,27500,0.27,0.28,0.27,0.27,-0.01,3
105/06/15,0,0,---,---,---,---,---,0
105/06/16,60000,14400,0.25,0.25,0.23,0.23,-0.04,2
105/06/17,70000,18200,0.26,0.26,0.26,0.26,+0.03,3
105/06/20,60000,15300,0.26,0.26,0.25,0.25,-0.01,2
105/06/21,110000,28610,0.26,0.27,0.26,0.26,+0.01,4
105/06/22,60000,15600,0.26,0.26,0.26,0.26,0.00,2
105/06/23,30000,7800,0.26,0.26,0.26,0.26,0.00,1
105/06/24,0,0,---,---,---,---,---,0
105/06/27,50000,7000,0.14,0.14,0.14,0.14,-0.04,1
105/06/28,60000,9300,0.16,0.16,0.15,0.15,+0.01,2
105/06/29,100000,17000,0.17,0.17,0.17,0.17,+0.02,1
105/06/30,30000,5100,0.17,0.17,0.17,0.17,0.00,1
105/07/01,0,0,---,---,---,---,---,0
105/07/04,0,0,---,---,---,---,---,0
105/07/05,0,0,---,---,---,---,---,0
105/07/06,0,0,---,---,---,---,---,0
105/07/07,0,0,---,---,---,---,---,0
105/07/11,90000,12000,0.14,0.14,0.13,0.13,-0.01,2
105/07/12,60000,9000,0.14,0.16,0.14,0.16,+0.03,2
105/07/13,0,0,---,---,---,---,---,0
105/07/14,0,0,---,---,---,---,---,0
105/07/15,80000,12300,0.16,0.16,0.15,0.15,-0.01,2
105/07/18,0,0,---,---,---,---,---,0
105/07/19,0,0,---,---,---,---,---,0
